"","BARRIO","FECHA","A�O_2018_PRED"
"303","Barrio Colón",2018-04-07,2.12258064516129
"304","Barrio Colón",2018-04-08,2.19266055045872
"305","Barrio Colón",2018-04-10,1.80927835051546
"306","Barrio Colón",2018-04-13,1.80519480519481
"307","Barrio Colón",2018-04-15,1.8952380952381
"308","Barrio Colón",2018-04-16,1.37707948243993
"309","Barrio Colón",2018-04-17,2.10483870967742
"310","Barrio Colón",2018-04-18,2.0948275862069
"311","Barrio Colón",2018-04-19,1.72727272727273
"312","Barrio Colón",2018-04-20,2.38095238095238
"313","Barrio Colón",2018-04-21,1.87943262411348
"314","Barrio Colón",2018-04-24,2.3495145631068
"315","Barrio Colón",2018-04-25,2.36129032258065
"316","Barrio Colón",2018-04-27,2.40336134453782
"317","Barrio Colón",2018-04-28,2.10373443983402
"318","Barrio Colón",2018-05-02,2.31730769230769
"319","Barrio Colón",2018-05-03,2.175
"320","Barrio Colón",2018-05-04,1.82658959537572
"321","Barrio Colón",2018-05-05,1.55613577023499
"322","Barrio Colón",2018-05-08,1.61818181818182
"323","Barrio Colón",2018-05-09,2.13675213675214
"324","Barrio Colón",2018-05-10,1.93502824858757
"325","Barrio Colón",2018-05-11,1.82658959537572
"326","Barrio Colón",2018-05-12,2.14814814814815
"327","Barrio Colón",2018-05-14,1.76872964169381
"328","Barrio Colón",2018-05-15,2.30722891566265
"329","Barrio Colón",2018-05-16,2.16083916083916
"330","Barrio Colón",2018-05-17,1.96498054474708
"331","Barrio Colón",2018-05-18,2.00469483568075
"332","Barrio Colón",2018-05-19,2.17098445595855
"333","Barrio Colón",2018-05-20,2.28859060402685
"334","Barrio Colón",2018-05-22,1.80927835051546
"335","Barrio Colón",2018-05-23,2.13571428571429
"336","Barrio Colón",2018-05-24,2.20952380952381
"337","Barrio Colón",2018-05-26,2.07746478873239
"338","Barrio Colón",2018-05-27,2.19354838709677
"339","Barrio Colón",2018-05-28,2.60176991150442
"340","Barrio Colón",2018-05-30,1.68449931412894
"341","Barrio Colón",2018-06-01,1.97222222222222
