"","MES","BARRIO","A�O_2018_PRED"
"151","02","Bolivariana",5.64475534188156
"152","02","Bomboná No. 1",6.42929227051825
"153","02","Bosques de San Pablo",1.33213644524237
"154","02","Boston",25.806236650732
"155","02","Boyacá",1.44578313253012
"156","02","Brasilia",1.29501915708812
"157","02","Córdoba",1.33213644524237
"158","02","Cabecera San Antonio de Prado",17.489725943545
"159","02","Cabecera Urbana San Cristobal",7.0244033392806
"160","02","Calasanz",2.62715560233049
"161","02","Calle Nueva",12.2751012464909
"162","02","Campo Alegre",2.69075713489754
"163","02","Campo Amor",58.0509846265184
"164","02","Campo Valdés No. 1",8.12657266475458
"165","02","Campo Valdés No. 2",3.15708812260536
"166","02","Caribe",43.4711863903303
"167","02","Carlos E. Restrepo",32.2858062270651
"168","02","Castilla",30.3386208772677
"169","02","Castropol",10.6761679084048
"170","02","Cataluña",1.29501915708812
"171","02","Cerro Nutibara",2.91746813667996
"172","02","Corazón de Jesús",23.05137399741
"173","02","Cristo Rey",14.8264402011538
"174","02","Cuarta Brigada",10.4826409659945
"175","02","Cucaracho",5.67543474559782
"176","02","Diego Echavarría",1.37707948243993
"177","02","Doce de Octubre No.1",1.44554455445545
"178","02","Doce de Octubre No.2",1.37707948243993
"179","02","El Chagualo",10.2628999519883
"180","02","El Danubio",3.01693925233645
"181","02","El Diamante",7.14602634947883
"182","02","El Estadio",16.1987228661305
"183","02","El Nogal-Los Almendros",1.29501915708812
"184","02","El Pesebre",1.29501915708812
"185","02","El Pinal",3.27462488516893
"186","02","El Poblado",9.00317436051179
"187","02","El Pomar",1.37707948243993
"188","02","El Progreso",23.7570727136326
"189","02","El Raizal",1.43214285714286
"190","02","El Rincón",2.94945420448313
"191","02","El Salvador",1.42105263157895
"192","02","El Velódromo",1.50367107195301
"193","02","Enciso",1.74622356495468
"194","02","Estación Villa",11.8881234668883
"195","02","Fátima",9.22300551475424
"196","02","Facultad de Minas U. Nacional",5.53638435381376
"197","02","Ferrini",1.50955414012739
"198","02","Florida Nueva",9.88439765889454
"199","02","Francisco Antonio Zea",1.33213644524237
"200","02","Gerona",1.37707948243993
"201","02","Girardot",8.99323591476482
"202","02","Guayabal",23.7604483784849
"203","02","Guayaquil",37.2576492159286
"204","02","Héctor Abad Gómez",8.71959505477825
"205","02","Jesús Nazareno",18.5142791185313
"206","02","Kennedy",5.63744209740997
"207","02","La Aguacatala",19.8416346228824
"208","02","La Alpujarra",13.3052152019355
"209","02","La América",3.14931465123363
"210","02","La Candelaria",59.4350066219016
"211","02","La Castellana",3.95929204757286
"212","02","La Colina",1.45625
"213","02","La Esperanza",1.33213644524237
"214","02","La Floresta",1.33213644524237
"215","02","La Florida",2.72716201423098
"216","02","La Gloria",2.78497421928203
"217","02","La Libertad",2.59003831417625
"218","02","La Mansión",1.33213644524237
"219","02","La Pilarica",1.29501915708812
"220","02","López de Mesa",4.38279541162296
"221","02","Las Acacias",11.6305505488735
