"","MES","COMUNA","A�O_2017_PRED","A�O_2018_PRED"
"210","08","Alfonso López",1.06012658227848,0.731012658227848
"211","08","Boston",1.06012658227848,0.731012658227848
"212","08","Cabecera San Antonio de Prado",1.06012658227848,0.731012658227848
"213","08","Calle Nueva",1.06012658227848,0.731012658227848
"214","08","Campo Valdés No. 1",1.06012658227848,0.731012658227848
"215","08","Cerro Nutibara",1.06012658227848,0.731012658227848
"216","08","El Chagualo",1.06012658227848,0.731012658227848
"217","08","Estación Villa",1.06012658227848,0.731012658227848
"218","08","Guayaquil",1.06012658227848,0.731012658227848
"219","08","Jesús Nazareno",1.06012658227848,0.731012658227848
"220","08","La Rosa",1.06012658227848,0.731012658227848
"221","08","Las Esmeraldas",1.06012658227848,0.731012658227848
"222","08","Los Conquistadores",1.06012658227848,0.731012658227848
"223","08","Miranda",1.06012658227848,0.731012658227848
"224","08","Moravia",1.06012658227848,0.731012658227848
"225","08","Patio Bonito",1.06012658227848,0.731012658227848
"226","08","Perpetuo Socorro",1.06012658227848,0.731012658227848
"227","08","Rosales",2.12025316455696,1.4620253164557
"228","08","San Pedro",1.06012658227848,0.731012658227848
"229","08","Veinte de Julio",1.06012658227848,0.731012658227848
"230","09","",14.892590705072,13.1614469562125
"231","09","Aranjuez",227.237757536834,220.407700990297
"232","09","AU",1.63111135636243,1.58248331927295
"233","09","Belén",248.843864840795,232.02385620915
"234","09","Buenos Aires",132.058382251435,125.964915786957
"235","09","Castilla",328.447316249024,301.646875922886
"236","09","Corregimiento de Altavista",15.5570892925788,13.3811806277334
"237","09","Corregimiento de San Antonio de Prado",30.0653593368567,27.8409562514989
"238","09","Corregimiento de San Cristóbal",39.2397154211235,41.1505970944146
"239","09","Corregimiento de Santa Elena",18.3686552364129,16.6251879382756
"240","09","Doce de Octubre",94.2974549322391,90.1183563333139
"241","09","El Poblado",296.181150399177,273.868916377075
"242","09","Guayabal",271.799901449169,248.694527688063
"243","09","In",6.18914242322528,5.69781745475638
"244","09","La América",116.813131118206,116.923562307785
"245","09","La Candelaria",637.599662510512,617.976060606061
"246","09","Laureles Estadio",376.394835428428,340.434747474747
"247","09","Manrique",113.252553724699,110.11566181517
"248","09","Popular",64.456433531577,61.984417869361
"249","09","Robledo",259.396531784515,241.398839203792
"250","09","San Javier",72.0815870072671,69.633709005679
"251","09","Santa Cruz",49.4992962386633,48.5741679346844
"252","09","Villa Hermosa",98.4302922431978,95.1335771730109
"253","09","Bolivariana",1.06012658227848,0.731012658227848
"254","09","Calasanz",1.06012658227848,0.731012658227848
"255","09","Calle Nueva",1.06012658227848,0.731012658227848
"256","09","Caribe",1.06012658227848,0.731012658227848
"257","09","Cerro Nutibara",1.06012658227848,0.731012658227848
"258","09","Corazón de Jesús",1.06012658227848,0.731012658227848
"259","09","El Raizal",1.06012658227848,0.731012658227848
"260","09","Guayaquil",1.06012658227848,0.731012658227848
"261","09","La Alpujarra",1.06012658227848,0.731012658227848
"262","09","La Colina",1.06012658227848,0.731012658227848
"263","09","Las Palmas",1.06012658227848,0.731012658227848
"264","09","Laureles",1.06012658227848,0.731012658227848
"265","09","Oleoducto",1.06012658227848,0.731012658227848
"266","09","Universidad de Antioquia",1.06012658227848,0.731012658227848
"267","09","Villa Guadalupe",1.06012658227848,0.731012658227848
"268","10","",18.608114508597,14.6792196590234
"269","10","Aranjuez",217.846904471676,209.790146027423
"270","10","Belén",257.978844443347,242.434779642022
"271","10","Buenos Aires",125.464328829797,121.013446055101
"272","10","Castilla",339.229571537342,302.785095910043
"273","10","Corregimiento de Altavista",16.2020470734258,13.8819447404715
"274","10","Corregimiento de San Antonio de Prado",31.6406772925908,30.132855085482
"275","10","Corregimiento de San Cristóbal",40.8406966377967,41.576629927603
"276","10","Corregimiento de Santa Elena",18.4055794870819,17.6026142043037
"277","10","Doce de Octubre",92.7053543319822,86.9490183487584
"278","10","El Poblado",277.769690689506,255.590443409683
"279","10","Guayabal",277.126650514774,256.799848645059
"280","10","In",6.75604589995896,6.85589753583165
"281","10","La América",125.623210739263,121.447291066999
"282","10","La Candelaria",644.63760818939,638.151111111111
"283","10","Laureles Estadio",373.409308732377,336.876565656566
"284","10","Manrique",119.200458899051,114.669666573815
"285","10","Popular",58.0489650033082,57.169322471436
"286","10","Robledo",254.907892434093,244.006588132888
"287","10","San Javier",72.9658311016293,71.3204954277989
"288","10","Santa Cruz",52.2370623371917,51.1117831790242
"289","10","SN",0.560975609756098,0.5
"290","10","Villa Hermosa",99.1167057527967,95.7454413236537
"291","10","Antonio Nariño",1.06012658227848,0.731012658227848
"292","10","Boston",1.06012658227848,0.731012658227848
"293","10","Campo Valdés No. 2",1.06012658227848,0.731012658227848
"294","10","Caribe",1.06012658227848,0.731012658227848
"295","10","Cristo Rey",1.06012658227848,0.731012658227848
"296","10","El Nogal-Los Almendros",1.06012658227848,0.731012658227848
"297","10","Fátima",1.06012658227848,0.731012658227848
"298","10","La Alpujarra",1.06012658227848,0.731012658227848
"299","10","La Floresta",1.06012658227848,0.731012658227848
"300","10","Las Esmeraldas",1.06012658227848,0.731012658227848
"301","10","Las Granjas",1.06012658227848,0.731012658227848
"302","10","Los Mangos",1.06012658227848,0.731012658227848
"303","10","Manila",1.06012658227848,0.731012658227848
"304","10","Oleoducto",1.06012658227848,0.731012658227848
"305","10","Parque Juan Pablo II",1.06012658227848,0.731012658227848
"306","10","Santa Fé",1.06012658227848,0.731012658227848
"307","10","Santa Inés",1.06012658227848,0.731012658227848
"308","11","",17.3528438047587,15.6423645114062
"309","11","Aranjuez",205.352492828047,198.290440227604
"310","11","AU",0.5,0.584745762711864
"311","11","Belén",221.037812490117,212.653763082191
"312","11","Buenos Aires",128.876181696956,124.157868984317
"313","11","Castilla",338.193074715323,300.170939270398
"314","11","Corregimiento de Altavista",15.3996203394001,13.7333174134764
"315","11","Corregimiento de San Antonio de Prado",27.0605560203632,23.6332141567763
"316","11","Corregimiento de San Cristóbal",39.0101656714726,37.7720263574609
"317","11","Corregimiento de Santa Elena",25.0896588144312,24.1491885041928
"318","11","Doce de Octubre",97.9648311773822,93.8944333021794
"319","11","El Poblado",261.640237555111,250.252789220224
"320","11","Guayabal",266.694318454908,252.653297670144
"321","11","In",8.5676600236543,6.92408764264413
"322","11","La América",111.514372847086,107.258245751626
"323","11","La Candelaria",610.265946292108,602.358080808081
"324","11","Laureles Estadio",361.260832062871,329.237528576387
"325","11","Manrique",109.36039966302,103.756430840789
"326","11","Popular",55.51826023136,54.204428258794
"327","11","Robledo",218.189235320534,206.169575107765
"328","11","San Javier",71.2060619984333,68.1220605119687
"329","11","Santa Cruz",58.4288471976327,57.5049385014558
"330","11","Villa Hermosa",92.3886968131933,90.0211690002004
"331","11","Corregimiento de San Sebastián de Palmitas",2.12025316455696,1.4620253164557
"332","11","Alejandro Echavarría",1.06012658227848,0.731012658227848
"333","11","Cabecera San Antonio de Prado",2.12025316455696,1.4620253164557
"334","11","Cristo Rey",1.06012658227848,0.731012658227848
"335","11","Florida Nueva",1.06012658227848,0.731012658227848
"336","11","Naranjal",1.06012658227848,0.731012658227848
"337","11","Suramericana",1.06012658227848,0.731012658227848
"338","11","Toscana",1.06012658227848,0.731012658227848
"339","12","",14.5651420849756,13.2362996877069
"340","12","Aranjuez",221.401953066674,211.921053295364
"341","12","AU",0.570135746606335,0.497737556561086
"342","12","Belén",233.01855104816,223.188646982522
"343","12","Buenos Aires",129.994710576541,124.089901993944
"344","12","Castilla",331.716704622008,300.441176100803
"345","12","Corregimiento de Altavista",19.2567460232221,17.5592215452955
"346","12","Corregimiento de San Antonio de Prado",31.2678173373701,29.4607014249522
"347","12","Corregimiento de San Cristóbal",39.6140098814948,39.9936850398177
"348","12","Corregimiento de Santa Elena",20.4610555565666,19.367359508707
"349","12","Doce de Octubre",88.7431967532912,86.3401136298439
"350","12","El Poblado",271.861842316389,247.968151336004
