"","MES","BARRIO","A�O_2017_PRED","A�O_2018_PRED"
"1092","08","La Castellana",4.4024666899341,4.21681824714119
"1093","08","La Colina",1.6140350877193,1.54385964912281
"1094","08","La Esperanza",3.29339752407153,3.40450060859153
"1095","08","La Florida",6.44572092920744,6.13502971396055
"1096","08","La Frontera",1.39339752407153,1.33975240715268
"1097","08","La Gloria",4.5080057941671,4.49396624576032
"1098","08","La Isla",1.43852978453739,1.42458808618504
"1099","08","La Mansión",1.48458149779736,1.50660792951542
"1100","08","La Pilarica",4.60164854169261,4.3670790138007
"1101","08","La Salle",1.43852978453739,1.42458808618504
"1102","08","López de Mesa",6.45969119799262,6.13191701410937
"1103","08","Lalinde",1.45145018915511,1.40479192938209
"1104","08","Las Acacias",13.057923228445,12.6572156033921
"1105","08","Las Brisas",7.26272605469022,6.94544012137021
"1106","08","Las Estancias",1.43852978453739,1.42458808618504
"1107","08","Las Granjas",1.76785714285714,1.51785714285714
"1108","08","Las Lomas No.1",1.39339752407153,1.33975240715268
"1109","08","Las Mercedes",1.61567164179104,1.53731343283582
"1110","08","Laureles",12.9884239132204,12.6239709731323
"1111","08","Loma de los Bernal",2.8899799736925,2.82938001556714
"1112","08","Lorena",2.96868053830623,2.93212577462726
"1113","08","Loreto",1.39339752407153,1.33975240715268
"1114","08","Los Ángeles",7.17926693123655,7.07345721004737
"1115","08","Los Balsos No.2",11.3816865981815,10.7039989063907
"1116","08","Los Colores",27.7834926794238,26.5959524248985
"1117","08","Los Conquistadores",55.5538906701104,54.2175181930364
"1118","08","Los Mangos",7.16135651963291,7.01549275938792
"1119","08","Los Pinos",6.59283251541844,6.59868273760228
"1120","08","Manila",18.5103389033243,17.2774208174692
"1121","08","Manrique Central No. 1",16.816108441368,16.2291200738149
"1122","08","Manrique Central No. 2",1.68,1.6
"1123","08","Manrique Oriental",6.35124147716225,6.26961481467344
"1124","08","Miranda",8.35549488415324,7.75863004187781
