"","SEMANA","COMUNA","A�O_2018_PRED"
"219","09","",2.88536048745429
"220","09","Aranjuez",46.2191934862768
"221","09","Belén",55.7984291098516
"222","09","Buenos Aires",30.2094390385684
"223","09","Castilla",74.0254986718436
"224","09","Corregimiento de Altavista",2.79898629119361
"225","09","Corregimiento de San Antonio de Prado",5.44513268366938
"226","09","Corregimiento de San Cristóbal",8.77912400466478
"227","09","Corregimiento de Santa Elena",5.42848871039563
"228","09","Doce de Octubre",26.4061524863589
"229","09","El Poblado",62.3149545785722
"230","09","Guayabal",55.1839617984355
"231","09","In",0.568315018315018
"232","09","La América",25.3251838704129
"233","09","La Candelaria",138.766060606061
"234","09","Laureles Estadio",85.3364223300158
"235","09","Manrique",24.9768447204969
"236","09","Popular",15.2527758183138
"237","09","Robledo",57.6026865762294
"238","09","San Javier",13.4646101346807
"239","09","Santa Cruz",12.2048527659772
"240","09","Villa Hermosa",22.9342442358183
"241","09","Corregimiento de San Sebastián de Palmitas",0.33974358974359
"242","10","",3.72410733344568
"243","10","Aranjuez",48.6193570053168
"244","10","AU",0.378415300546448
"245","10","Belén",54.3174917530136
"246","10","Buenos Aires",28.5437557336738
"247","10","Castilla",76.0717312022464
"248","10","Corregimiento de Altavista",2.38202188174912
"249","10","Corregimiento de San Antonio de Prado",6.91338013262974
"250","10","Corregimiento de San Cristóbal",9.27828581725424
"251","10","Corregimiento de Santa Elena",4.28654495869748
"252","10","Doce de Octubre",22.2493838653299
"253","10","El Poblado",62.938950583235
"254","10","Guayabal",55.6559271339936
"255","10","In",0.33974358974359
"256","10","La América",27.7457693220328
"257","10","La Candelaria",138.816081608161
"258","10","Laureles Estadio",81.1554486036839
"259","10","Manrique",25.2145185042317
"260","10","Popular",10.2003021677376
"261","10","Robledo",54.4739991666109
"262","10","San Javier",17.3279305616037
"263","10","Santa Cruz",13.4196823890026
"264","10","Villa Hermosa",19.1002041161101
"265","11","",2.84663380775692
"266","11","Aranjuez",46.3160039521273
"267","11","AU",0.228571428571429
"268","11","Belén",50.8052803680801
"269","11","Buenos Aires",33.4426804327798
"270","11","Castilla",74.0928618164447
"271","11","Corregimiento de Altavista",1.94208496983846
"272","11","Corregimiento de San Antonio de Prado",6.65442849430301
"273","11","Corregimiento de San Cristóbal",8.8290370230882
"274","11","Corregimiento de Santa Elena",2.93304057668296
"275","11","Doce de Octubre",22.1827908413052
"276","11","El Poblado",52.570631594161
"277","11","Guayabal",50.9950595789273
"278","11","La América",24.1362891380944
"279","11","La Candelaria",128.831742174217
"280","11","Laureles Estadio",72.0483396243496
"281","11","Manrique",24.9333733281753
"282","11","Popular",13.8274001474533
"283","11","Robledo",46.3397983618719
"284","11","San Javier",14.9858253424278
"285","11","Santa Cruz",7.31871207276984
"286","11","Villa Hermosa",18.6704762104687
"287","11","Corregimiento de San Sebastián de Palmitas",0.23489932885906
"288","12","",1.4186282399709
"289","12","Aranjuez",50.7601785963949
"290","12","Belén",53.434417657069
"291","12","Buenos Aires",24.3215161294377
"292","12","Castilla",72.0644249809596
"293","12","Corregimiento de Altavista",1.66255986390252
"294","12","Corregimiento de San Antonio de Prado",3.02583986088955
"295","12","Corregimiento de San Cristóbal",8.77171303865359
"296","12","Corregimiento de Santa Elena",2.99135993560307
"297","12","Doce de Octubre",18.1751251633157
"298","12","El Poblado",60.8749377749887
"299","12","Guayabal",52.8648759283638
"300","12","In",1.3499420639018
"301","12","La América",23.2940505910716
"302","12","La Candelaria",137.531919191919
"303","12","Laureles Estadio",79.8766818235222
"304","12","Manrique",23.1959045104711
"305","12","Popular",15.6758115845801
"306","12","Robledo",46.8009798043686
"307","12","San Javier",13.6029294512965
"308","12","Santa Cruz",12.3047302268785
"309","12","Villa Hermosa",19.6058838375396
"310","12","0",0.23489932885906
"311","13","",2.80597219268566
"312","13","Aranjuez",46.2757265090785
"313","13","Belén",50.7059068532077
"314","13","Buenos Aires",22.5568214711081
"315","13","Castilla",71.4713811067816
"316","13","Corregimiento de Altavista",2.89908260753331
"317","13","Corregimiento de San Antonio de Prado",11.2037241617106
"318","13","Corregimiento de San Cristóbal",8.34743494363953
"319","13","Corregimiento de Santa Elena",2.11694934960418
"320","13","Doce de Octubre",21.4086691867463
"321","13","El Poblado",65.5209107529399
"322","13","Guayabal",55.3384821906243
"323","13","In",0.252873563218391
"324","13","La América",23.0090857671627
"325","13","La Candelaria",126.359126912691
"326","13","Laureles Estadio",71.4354144826247
"327","13","Manrique",23.0322488215215
"328","13","Popular",13.2391964159008
"329","13","Robledo",48.303928280372
"330","13","San Javier",13.4865916406887
"331","13","Santa Cruz",10.7222245776873
"332","13","Villa Hermosa",19.6328543010755
"333","14","",3.10509964202767
"334","14","Aranjuez",45.4572225419313
"335","14","Belén",53.7065549168523
"336","14","Buenos Aires",34.1717010432005
"337","14","Castilla",62.0084470887717
"338","14","Corregimiento de Altavista",1.43452313952054
"339","14","Corregimiento de San Antonio de Prado",6.13443500293379
"340","14","Corregimiento de San Cristóbal",7.87400634486357
"341","14","Corregimiento de Santa Elena",2.67909036468754
"342","14","Doce de Octubre",22.5678781148775
"343","14","El Poblado",57.1842042012889
"344","14","Guayabal",54.4072356337625
"345","14","In",0.756830601092896
"346","14","La América",31.7141448445477
"347","14","La Candelaria",137.463333333333
"348","14","Laureles Estadio",86.348197819782
"349","14","Manrique",24.9494702808437
"350","14","Popular",9.37557218393255
"351","14","Robledo",52.4841682468397
"352","14","San Javier",14.4860566763397
"353","14","Santa Cruz",11.7554176624212
"354","14","Villa Hermosa",20.1570386292385
"355","15","",1.36720813116786
"356","15","Aranjuez",40.2580858313137
"357","15","Belén",48.7939511666602
"358","15","Buenos Aires",24.517299229564
"359","15","Castilla",69.4154265277332
"360","15","Corregimiento de Altavista",2.49435242608479
"361","15","Corregimiento de San Antonio de Prado",5.65452225574586
"362","15","Corregimiento de San Cristóbal",8.91613519174895
