"","MES","COMUNA","A�O_2018_PRED"
"197","08","Guayabal",258.752478625823
"198","08","In",3.06974737058051
"199","08","La América",115.667172704169
"200","08","La Candelaria",625.053916391639
"201","08","Laureles Estadio",352.00663332663
"202","08","Manrique",100.028873526289
"203","08","Popular",53.5621262022332
"204","08","Robledo",233.27582711538
"205","08","San Javier",63.4072625295366
"206","08","Santa Cruz",53.4995999779423
"207","08","Villa Hermosa",95.0061770201338
"208","08","0",0.67948717948718
"209","08","Corregimiento de San Sebastián de Palmitas",0.848213958264569
"210","08","Alfonso López",0.252873563218391
"211","08","Boston",0.252873563218391
"212","08","Cabecera San Antonio de Prado",0.252873563218391
"213","08","Calle Nueva",0.252873563218391
"214","08","Campo Valdés No. 1",0.252873563218391
"215","08","Cerro Nutibara",0.252873563218391
"216","08","El Chagualo",0.252873563218391
"217","08","Estación Villa",0.252873563218391
"218","08","Guayaquil",0.252873563218391
"219","08","Jesús Nazareno",0.252873563218391
"220","08","La Rosa",0.252873563218391
"221","08","Las Esmeraldas",0.252873563218391
"222","08","Los Conquistadores",0.252873563218391
"223","08","Miranda",0.252873563218391
"224","08","Moravia",0.252873563218391
"225","08","Patio Bonito",0.252873563218391
"226","08","Perpetuo Socorro",0.252873563218391
"227","08","Rosales",0.505747126436782
"228","08","San Pedro",0.252873563218391
"229","08","Veinte de Julio",0.252873563218391
"230","09","",8.34853735242445
"231","09","Aranjuez",213.317924741789
"232","09","AU",0.803214347174079
"233","09","Belén",234.779855868997
"234","09","Buenos Aires",125.305129365449
"235","09","Castilla",299.705968098853
"236","09","Corregimiento de Altavista",7.43515598554591
"237","09","Corregimiento de San Antonio de Prado",34.9788848810004
"238","09","Corregimiento de San Cristóbal",38.5098389576227
"239","09","Corregimiento de Santa Elena",12.264749304329
"240","09","Doce de Octubre",88.8530627338221
"241","09","El Poblado",282.48346215283
"242","09","Guayabal",243.020278929001
"243","09","In",3.57402951978468
"244","09","La América",115.068745466127
"245","09","La Candelaria",621.510222022202
"246","09","Laureles Estadio",334.905238836912
"247","09","Manrique",102.514852020554
"248","09","Popular",60.1453680251515
"249","09","Robledo",234.017190416066
"250","09","San Javier",68.9207038723366
"251","09","Santa Cruz",50.2542468868078
"252","09","Villa Hermosa",89.7066290483065
"253","09","Bolivariana",0.252873563218391
"254","09","Calasanz",0.252873563218391
"255","09","Calle Nueva",0.252873563218391
"256","09","Caribe",0.252873563218391
"257","09","Cerro Nutibara",0.252873563218391
"258","09","Corazón de Jesús",0.252873563218391
"259","09","El Raizal",0.252873563218391
"260","09","Guayaquil",0.252873563218391
"261","09","La Alpujarra",0.252873563218391
"262","09","La Colina",0.252873563218391
"263","09","Las Palmas",0.252873563218391
"264","09","Laureles",0.252873563218391
"265","09","Oleoducto",0.252873563218391
"266","09","Universidad de Antioquia",0.252873563218391
"267","09","Villa Guadalupe",0.252873563218391
"268","10","",9.14337633802254
"269","10","Aranjuez",200.054674702117
"270","10","Belén",232.87281599546
"271","10","Buenos Aires",112.138467145334
"272","10","Castilla",305.356759118232
