"","SEMANA","COMUNA","A�O_2017_PRED","A�O_2018_PRED"
"430","18","Corregimiento de San Antonio de Prado",6.65087567867428,6.37806515723793
"431","18","Corregimiento de San Cristóbal",10.3404455660995,10.3607495331563
"432","18","Corregimiento de Santa Elena",4.20551713201855,3.8996540293649
"433","18","Doce de Octubre",23.6462864336548,23.3051230088335
"434","18","El Poblado",61.9705141981526,57.4590881441085
"435","18","Guayabal",65.4260195282774,61.2922292229223
"436","18","In",2.13206902832165,1.64073488045007
"437","18","La América",29.0182862956503,28.3854154827247
"438","18","La Candelaria",149.138520499109,149.373737373737
"439","18","Laureles Estadio",91.6678879269994,81.5254545454546
"440","18","Manrique",27.1432249612719,27.3209962329121
"441","18","Popular",10.742649969348,11.8475329695174
"442","18","Robledo",54.0286586974711,53.2296479647965
"443","18","San Javier",14.9909866400614,14.8465259327051
"444","18","Santa Cruz",11.8450631024002,11.6128228376071
"445","18","Villa Hermosa",23.9996459500049,22.2755113817716
"446","19","",4.59409913758223,3.60495805669651
"447","19","Aranjuez",59.7822265433367,55.6508088964236
"448","19","AU",0.560975609756098,0.5
"449","19","Belén",55.106829820223,51.7083333333333
"450","19","Buenos Aires",28.1603091542285,28.1757575502848
"451","19","Castilla",72.8161189736138,66.115516669314
"452","19","Corregimiento de Altavista",4.71673912885545,3.98923252787259
"453","19","Corregimiento de San Antonio de Prado",7.17005016915617,6.70913256293001
"454","19","Corregimiento de San Cristóbal",9.14012396972879,8.71463761514111
"455","19","Corregimiento de Santa Elena",4.0401301834896,3.71680944941116
"456","19","Doce de Octubre",28.8855572051559,27.7095038618811
"457","19","El Poblado",66.5289130855441,58.7097559303442
"458","19","Guayabal",61.793407618917,55.6119490628308
"459","19","In",2.52765888060006,2.32635746606335
"460","19","La América",27.103631441875,26.0990301035858
"461","19","La Candelaria",145.360404040404,141.979797979798
"462","19","Laureles Estadio",84.0059971524344,77.4747474747475
"463","19","Manrique",32.0148502733194,31.7243294329433
"464","19","Popular",13.1742823607531,12.962363070179
"465","19","Robledo",60.5592914980196,57.1979731128453
"466","19","San Javier",16.1205806700073,15.4933610885493
"467","19","Santa Cruz",14.0892717778727,13.7720403892888
"468","19","Villa Hermosa",17.2572878974583,17.0026774333176
"469","19","Corregimiento de San Sebastián de Palmitas",1.06012658227848,0.731012658227848
"470","20","",4.49421510792975,3.5813056137021
"471","20","Aranjuez",60.9248284772698,58.5890589058906
"472","20","Belén",52.713100923122,50.4137213721372
"473","20","Buenos Aires",31.99251159139,31.0439334895384
"474","20","Castilla",75.3739950378852,68.9450565056506
"475","20","Corregimiento de Altavista",4.65855842483622,3.73907246285768
"476","20","Corregimiento de San Antonio de Prado",7.24163707719506,6.60466543427454
"477","20","Corregimiento de San Cristóbal",9.01906792992065,9.24773761996551
"478","20","Corregimiento de Santa Elena",3.86547630660673,3.44635339551358
"479","20","Doce de Octubre",21.5185045997091,20.5566979973868
